Date,Load.1,Load.7,Net_demand,Temp,Temp_s95,Temp_s99,Temp_s95_min,Temp_s95_max,Temp_s99_min,Temp_s99_max,Wind,Wind_weighted_ratio,Nebulosity,Nebulosity_weighted_ratio,WeekDays,BH_before,BH,BH_after,Year,DLS,Summer_break,Christmas_break,Holiday,Holiday_zone_a,Holiday_zone_b,Holiday_zone_c,BH_Holiday,Solar_power.1,Solar_power.7,Wind_power.1,Wind_power.7,Net_demand.1,Net_demand.7,Net_demand.1_trend,x_dayofyear,y_dayofyear,x_dayofweek,y_dayofweek,lundi_vendredi,flag_temp,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average
2013-03-02,2.1538922461557695,2.323866257885015,68453,-1.611676777952054,-1.5707422136147364,-1.7033093597182476,-1.4772576145919607,-1.648103979880583,-1.6704026808804704,-1.7427131872075665,-0.04847273238208778,-0.2502877163618822,0.958915049260246,-1.6274580775209637,5,0,0,0,0,0,0,0,1,1,1,1,11,-1.0442312188056695,-1.0442312188056695,-0.8480137590701742,-0.8480137590701742,68453,68453,1.5709413286873912,0.514792801509831,0.8573146280763322,0.6234898018587334,-0.7818314824680299,0,1,-0.5720775068880822,-0.5800062301768002
2013-03-03,1.5491367445986355,2.0615238131442304,63047.8958333333,-1.4975142921528084,-1.578510549396772,-1.6849621210352017,-1.6634742683144017,-1.4585724166409757,-1.6905322282614603,-1.678019890209434,-0.5229820618726914,1.1849017542349303,-1.1207445388881627,-0.15226177903535149,6,0,0,0,0,0,0,0,1,1,1,1,11,-1.0442312188056695,-0.7278861159182759,-0.8480137590701742,-0.7659125419871363,68453,63047.8958333333,1.5709413286873912,0.5000000000000001,0.8660254037844386,1,0,0,1,-0.5720775068880822,-0.5800062301768002
2013-03-04,1.0828137661312969,2.5137695369283657,65816.0416666667,-0.9934235945938322,-1.2523852420672652,-1.5549107891981515,-1.5414944502098387,-0.9302491468057471,-1.6207444045862571,-1.4291203632199312,0.2939140482789757,0.11633985312558887,-2.2681930470365774,2.338265389329388,0,0,0,0,0,0,0,0,1,1,0,1,1,-0.7278861159182759,-0.7030631597421838,-0.7659125419871363,-0.11571224425229482,63047.8958333333,65816.0416666667,1.5709413286873912,0.48505984619519626,0.8744809578310396,0.6234898018587336,0.7818314824680297,1,1,-0.5720775068880822,-0.5800062301768002
2013-03-05,1.4903001877001236,2.452600769388568,63442.8541666667,-0.5161121498384414,-0.6647493556614172,-1.2200806952600243,-0.7265624920450089,-0.5739119527937238,-1.3075781972073002,-1.0971823332316661,1.362359028131806,-1.6939601704556742,0.5296989100016088,0.8475585511771611,1,0,0,0,0,0,0,0,1,1,0,1,1,-0.7030631597421838,-1.1968797488579708,-0.11571224425229482,-0.039126130612365057,65816.0416666667,63442.8541666667,1.5709413286873912,0.46997674302731995,0.8826787983255474,-0.22252093395631434,0.9749279121818236,0,1,-0.5720775068880822,-0.5800062301768002
2013-03-06,1.2507094930009675,2.332237995580623,62736.5833333333,-0.44301594335774686,-0.4480398334354369,-0.9213131079517333,-0.37038990621095574,-0.5275252647161646,-0.971006663687422,-0.8727328717048911,-0.0627317667267927,-1.8680698476597293,1.503931896609157,-0.3713989148689913,2,0,0,0,0,0,0,0,1,1,0,1,1,-1.1968797488579708,-1.2983362028098595,-0.039126130612365057,-0.6800419471177817,63442.8541666667,62736.5833333333,1.5709413286873912,0.4547551355561058,0.8906165093267404,-0.900968867902419,0.43388373911755823,0,1,-0.5720775068880822,-0.5800062301768002
2013-03-07,1.0333021452474478,2.183373029412831,60916.0625,-0.30022614247824936,-0.36588633133494336,-0.7192678887729987,-0.33952914029722153,-0.37601915969518324,-0.7457789921174368,-0.6746654702727686,-0.4916648427635928,0.073728853626805,1.300577318999101,-0.5509082168306504,3,0,0,0,0,0,0,0,1,1,0,1,1,-1.2983362028098595,-1.0621948303532607,-0.6800419471177817,-0.8781253553493336,62736.5833333333,60916.0625,1.5709413286873912,0.4393995096591417,0.8982917515547528,-0.9009688679024191,-0.433883739117558,0,1,-0.5720775068880822,-0.5800062301768002
2013-03-08,0.834474351614452,2.1538922461557695,58310.8541666667,-0.3360125523035888,-0.3020616773379439,-0.5558566586633389,-0.19591835097886792,-0.4020547935396936,-0.5456105013871835,-0.5676314127000812,-0.02355556264975656,0.42975274098101435,1.1351227646246544,-0.5451550029596439,4,0,0,0,0,0,0,0,1,1,0,1,1,-1.0621948303532607,-1.0901382260939592,-0.8781253553493336,-0.4386454351526985,60916.0625,58310.8541666667,1.5709413286873912,0.42391439070986076,0.9057022630804714,-0.2225209339563146,-0.9749279121818236,1,1,-0.5720775068880822,-0.5800062301768002
2013-03-09,0.6871134073845108,1.5491367445986355,53310.875,-0.488710298970338,-0.4347794399942261,-0.5124476893805542,-0.4073814572332347,-0.46729606486712144,-0.49694732386668766,-0.5406035499500788,-0.9695632341350343,2.517840563898318,0.48608786312969166,-0.39776639068228026,5,0,0,0,0,0,0,0,1,1,0,1,11,-1.0901382260939592,-1.0442312188056695,-0.4386454351526985,-0.8480137590701742,58310.8541666667,68453,1.4245960347175013,0.40830434224389334,0.9128458599921356,0.6234898018587334,-0.7818314824680299,0,1,-0.5720775068880822,-0.5800062301768002
2013-03-10,0.11941544375575142,1.0828137661312969,52531.3958333333,-0.8459733201179281,-0.7124063785671076,-0.5834209620375459,-0.6477222297341158,-0.6817469425624176,-0.5783626519011187,-0.5729039858383969,-0.35616951408950337,1.1868154533751203,0.8983852744468209,-0.7548940074928012,6,0,0,0,0,0,0,0,1,1,0,1,11,-0.9313612651850456,-0.7278861159182759,-0.9275181006736999,-0.7659125419871363,53310.875,63047.8958333333,1.206103935425184,0.3925739646141717,0.9197204370389467,1,0,0,1,-0.5720775068880822,-0.5800062301768002
2013-03-11,0.04139577068632288,1.4903001877001236,62802.7916666667,-1.1910547406346252,-1.0455470876242337,-0.7599636191249453,-1.0094155776530065,-1.0036916024687998,-0.8057394758040268,-0.7119273515099543,1.2955997719982084,1.211762923007045,1.2281766176512683,-0.911974219405216,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.9637463676933792,-0.7030631597421838,-0.9394689390008195,-0.11571224425229482,52531.3958333333,65816.0416666667,1.0543569275113247,0.37672789363518505,0.926323968251495,0.6234898018587336,0.7818314824680297,1,1,-0.5720775068880822,-0.5800062301768002
2013-03-12,1.1860189701963129,1.2507094930009675,68570.5625,-1.676604058833371,-1.4693183327810075,-1.031155112960096,-1.573192014350547,-1.3584054787105626,-1.1450332815820048,-0.9368919976349265,1.5354629086996712,1.4302208403739016,1.2936480070880871,-0.5898071615552094,1,0,0,0,0,0,0,0,1,0,0,1,1,-1.0304000812760687,-1.1968797488579708,-0.11136964311598543,-0.039126130612365057,62802.7916666667,63442.8541666667,1.0108774741193747,0.3607707992167834,0.9326545075388224,-0.22252093395631434,0.9749279121818236,0,1,-0.5720775068880822,-0.5800062301768002
2013-03-13,1.7618640448676282,1.0333021452474478,74526.2708333333,-1.9878417776855533,-1.9281116369776614,-1.39683470959943,-1.9357335744158854,-1.8751915033944018,-1.4624686276895567,-1.2748116894512918,0.527051274682775,-0.8364912738328313,0.5048624579330778,0.176803636723914,2,0,0,0,0,0,0,0,1,0,0,1,1,-1.1706230772062494,-1.2983362028098595,0.08791232302918457,-0.6800419471177817,68570.5625,62736.5833333333,1.084867337385509,0.3447073839879338,0.9387101892619443,-0.900968867902419,0.43388373911755823,0,1,-0.5720775068880822,-0.5800062301768002
2013-03-14,2.1414205837230997,0.834474351614452,73828.7708333333,-1.8572575906273638,-1.8787452321492588,-1.6071157384250714,-1.8906680434321264,-1.8533295657733035,-1.6116299765531377,-1.5839094309570827,1.08904801028276,-2.496204370549181,-0.606987658091714,0.49385094720988626,3,0,0,0,0,0,0,0,1,0,0,1,1,-1.1622737929658198,-1.0621948303532607,-0.7098495613173994,-0.8781253553493336,74526.2708333333,60916.0625,1.2549857039869858,0.32854238191083485,0.9444892287836613,-0.9009688679024191,-0.433883739117558,0,1,-0.5720775068880822,-0.5800062301768002
2013-03-15,2.1078808945090906,0.6871134073845108,72293.25,-1.7062246832344943,-1.827282944373401,-1.7208961186329688,-1.9873457147146918,-1.661290723611602,-1.7250332692644277,-1.731414558702832,0.7868042571009766,-0.6873861182798452,-0.8878721153079681,-0.837949992953953,4,0,0,0,0,0,0,0,1,0,0,1,1,-0.8871409819857329,-1.0901382260939592,-0.6532046720953986,-0.4386454351526985,73828.7708333333,58310.8541666667,1.441308611194487,0.3122805568857947,0.949989922994501,-0.2225209339563146,-0.9749279121818236,1,1,-0.5720775068880822,-0.5800062301768002
2013-03-16,2.062469198362313,0.11941544375575142,62910.375,-1.2616061239957508,-1.443537940252399,-1.6398919861620171,-1.5996125302364217,-1.2744906465255246,-1.6681327753588338,-1.5781901444055155,1.5840003392997177,0.776322979283351,0.6292530125105131,-0.5217036516784533,5,0,0,0,0,0,0,0,1,0,0,1,11,-0.5930044129365191,-0.9313612651850456,-0.3058573776066715,-0.9275181006736999,72293.25,53310.875,1.6430664898780367,0.2959267013472893,0.9552106508146316,0.6234898018587334,-0.7818314824680299,0,1,-0.5720775068880822,-0.5800062301768002
2013-03-17,1.3333877275272268,0.04139577068632288,58799.4375,-1.0632809412834825,-1.0701405365859538,-1.4241427117086127,-0.9691696854004521,-1.1357772064487774,-1.4594938080536641,-1.4175969253000347,1.4354171285585144,-0.5724516329125304,0.8601215621950655,0.24351468148713032,6,0,0,0,0,0,0,0,1,0,0,1,11,-0.9582082902679084,-0.9637463676933792,0.4767488287742004,-0.9394689390008195,62910.375,52531.3958333333,1.7815817185633502,0.2794856348516095,0.9601498736716018,1,0,0,1,-0.5720775068880822,-0.5800062301768002
